constant    1: beta    0, exp    1
constant  849: beta   32, exp   56
constant  850: beta   58, exp   86
constant  851: beta   43, exp   76
constant  852: beta   78, exp  104
constant  853: beta   34, exp   51
constant  854: beta   35, exp   51
constant  855: beta   28, exp   45
constant  856: beta   40, exp   64
constant  857: beta   12, exp   29
constant  858: beta   35, exp   53
constant  859: beta   35, exp   55
constant  860: beta   45, exp   74
constant  861: beta   37, exp   55
constant  862: beta   27, exp   51
constant  863: beta   27, exp   51
constant  864: beta   14, exp   31
constant  865: beta   14, exp   31
constant  866: beta   51, exp   64
constant  867: beta   51, exp   64
constant  868: beta   58, exp   86
constant  869: beta   58, exp   86
constant  870: beta   67, exp   98
constant  871: beta   27, exp   45
constant  872: beta   22, exp   41
constant  873: beta   10, exp   17
constant  874: beta   10, exp   15
constant  875: beta    7, exp   17
constant  876: beta   23, exp   45
constant  877: beta   23, exp   45
constant  878: beta   82, exp   99
constant  879: beta   44, exp   64
constant  880: beta   45, exp   75
constant  881: beta   45, exp   75
constant  882: beta   80, exp   94
constant  883: beta   80, exp   94
constant  884: beta  195, exp  226
constant  885: beta  122, exp  135
constant  886: beta   49, exp   67
constant  887: beta   25, exp   42
constant  888: beta    6, exp   10
constant  889: beta    0, exp    1
constant  890: beta   10, exp   24
constant  891: beta   26, exp   45
constant  892: beta   15, exp   24
constant  893: beta    5, exp   13
constant  894: beta   22, exp   43
constant  895: beta   91, exp  115
constant  896: beta   29, exp   57
constant  897: beta   49, exp   65
constant  898: beta  130, exp  174
constant  899: beta   80, exp  117
constant  900: beta  194, exp  234
constant  901: beta   34, exp   59
constant  902: beta   78, exp  109
constant  903: beta   38, exp   61
constant  904: beta   38, exp   58
constant  905: beta   20, exp   34
constant  906: beta   38, exp   69
constant  907: beta   14, exp   29
constant  908: beta    6, exp    7
constant  909: beta   23, exp   59
constant  910: beta   32, exp   54
constant  911: beta   36, exp   65
constant  912: beta   38, exp   58
constant  913: beta   21, exp   33
constant  914: beta   31, exp   45
constant  915: beta   60, exp   85
constant  916: beta   51, exp   75
constant  917: beta   22, exp   39
constant  918: beta   38, exp   64
constant  919: beta   22, exp   39
constant  920: beta   38, exp   64
constant  921: beta   38, exp   53
constant  922: beta   38, exp   53
constant  923: beta   65, exp   94
constant  924: beta    9, exp   13
constant  925: beta    5, exp   13
constant  926: beta    5, exp   13
constant  927: beta   42, exp   63
constant  928: beta   76, exp  114
